Time resolution is 1 ps

[DEBUG] Time: 3665000 | SHAKE DOUT: 91892071
[DEBUG] Time: 3675000 | SHAKE DOUT: 64bf61d8
[DEBUG] Time: 4185000 | SHAKE DOUT: b152d594
[DEBUG] Time: 4205000 | SHAKE DOUT: e147d3c7
[DEBUG] Time: 4215000 | SHAKE DOUT: 8ef47497
[DEBUG] Time: 4225000 | SHAKE DOUT: 66da8035
[DEBUG] Time: 4245000 | SHAKE DOUT: f6fbb5b8
[DEBUG] Time: 4255000 | SHAKE DOUT: 8b5753a9
[DEBUG] Time: 4265000 | SHAKE DOUT: 7bfe8684
[DEBUG] Time: 4285000 | SHAKE DOUT: 541ea010
[DEBUG] Time: 4295000 | SHAKE DOUT: 3ca723c4
[DEBUG] Time: 4305000 | SHAKE DOUT: 08885c79
[DEBUG] Time: 4325000 | SHAKE DOUT: ebc3ea08
[DEBUG] Time: 4335000 | SHAKE DOUT: 13b7918e
[DEBUG] Time: 4345000 | SHAKE DOUT: a56a510e
[DEBUG] Time: 4365000 | SHAKE DOUT: 0ba6b8a5
[DEBUG] Time: 4375000 | SHAKE DOUT: d7b10421
[DEBUG] Time: 4385000 | SHAKE DOUT: cd797ec0
[DEBUG] Time: 4405000 | SHAKE DOUT: 379548b7
[DEBUG] Time: 4415000 | SHAKE DOUT: 5fb10f3a
[DEBUG] Time: 4425000 | SHAKE DOUT: 96003d07
[DEBUG] Time: 4445000 | SHAKE DOUT: b4a5fe6e
[DEBUG] Time: 4455000 | SHAKE DOUT: ab3d5cab
[DEBUG] Time: 4465000 | SHAKE DOUT: bf9bab0e
[DEBUG] Time: 4485000 | SHAKE DOUT: 9da198cc
[DEBUG] Time: 4495000 | SHAKE DOUT: 28d4619f
[DEBUG] Time: 4505000 | SHAKE DOUT: 3febea7e
[DEBUG] Time: 4525000 | SHAKE DOUT: 23f20759
[DEBUG] Time: 4535000 | SHAKE DOUT: 191043e8
[DEBUG] Time: 4545000 | SHAKE DOUT: e7bbf0f3
[DEBUG] Time: 4565000 | SHAKE DOUT: 162c5a40
[DEBUG] Time: 4575000 | SHAKE DOUT: 9adfa167
[DEBUG] Time: 4585000 | SHAKE DOUT: 9643ff17
[DEBUG] Time: 4605000 | SHAKE DOUT: 45bb152e
[DEBUG] Time: 4615000 | SHAKE DOUT: 297f5ff7
[DEBUG] Time: 4625000 | SHAKE DOUT: 68e469a5
[DEBUG] Time: 5145000 | SHAKE DOUT: 5d2d3b98
[DEBUG] Time: 5155000 | SHAKE DOUT: 88009ee1
[DEBUG] Time: 5165000 | SHAKE DOUT: d7605ef9
[DEBUG] Time: 5185000 | SHAKE DOUT: 0fbb140b
[DEBUG] Time: 5195000 | SHAKE DOUT: 410670d5
[DEBUG] Time: 5205000 | SHAKE DOUT: b685bc8a
[DEBUG] Time: 5225000 | SHAKE DOUT: 857e0c62
[DEBUG] Time: 5235000 | SHAKE DOUT: 002406b7
[DEBUG] Time: 5245000 | SHAKE DOUT: 605e6df9
[DEBUG] Time: 5265000 | SHAKE DOUT: a876430b
[DEBUG] Time: 5275000 | SHAKE DOUT: 55a592a8
[DEBUG] Time: 5285000 | SHAKE DOUT: 790746c6
[DEBUG] Time: 5295000 | SHAKE DOUT: 08b8c2e9
[DEBUG] Time: 5305000 | SHAKE DOUT: d4d11d14
[DEBUG] Time: 5315000 | SHAKE DOUT: 807610c2
[DEBUG] Time: 5325000 | SHAKE DOUT: 3c02b41b
[DEBUG] Time: 5345000 | SHAKE DOUT: e0204774
[DEBUG] Time: 5355000 | SHAKE DOUT: 6ebd5f0a
[DEBUG] Time: 5365000 | SHAKE DOUT: a2abbc6c
[DEBUG] Time: 5385000 | SHAKE DOUT: 6371c8d3
[DEBUG] Time: 5395000 | SHAKE DOUT: 53d875d2
[DEBUG] Time: 5405000 | SHAKE DOUT: 26f748a1
[DEBUG] Time: 5425000 | SHAKE DOUT: 132f4ffe
[DEBUG] Time: 5435000 | SHAKE DOUT: 008b8a1e
[DEBUG] Time: 5445000 | SHAKE DOUT: 6617e2b5
[DEBUG] Time: 5465000 | SHAKE DOUT: 726ac0e3
[DEBUG] Time: 5475000 | SHAKE DOUT: 364885df
[DEBUG] Time: 5485000 | SHAKE DOUT: 3056513f
[DEBUG] Time: 5505000 | SHAKE DOUT: d3bb4008
[DEBUG] Time: 5515000 | SHAKE DOUT: b017a51c
[DEBUG] Time: 5525000 | SHAKE DOUT: be11d58a
