Time resolution is 1 ps
[ENCAP STATE] Time: 258715000 | State changed to: 16
[ENCAP STATE] Time: 258725000 | State changed to: 15
[ENCAP STATE] Time: 258755000 | State changed to: 14
[ENCAP STATE] Time: 258765000 | State changed to: 15
[ENCAP STATE] Time: 258795000 | State changed to: 14
[ENCAP STATE] Time: 258805000 | State changed to: 15
[ENCAP STATE] Time: 258835000 | State changed to: 14
[ENCAP STATE] Time: 258845000 | State changed to: 15
[ENCAP STATE] Time: 258875000 | State changed to: 14
[ENCAP STATE] Time: 258885000 | State changed to: 15
[ENCAP STATE] Time: 258915000 | State changed to: 14
[ENCAP STATE] Time: 258925000 | State changed to: 15
[ENCAP STATE] Time: 258955000 | State changed to: 14
[ENCAP STATE] Time: 258965000 | State changed to: 15
[ENCAP STATE] Time: 258995000 | State changed to: 14
[ENCAP STATE] Time: 259005000 | State changed to: 15
[ENCAP STATE] Time: 259035000 | State changed to: 14
[ENCAP STATE] Time: 259045000 | State changed to: 15
[ENCAP STATE] Time: 259065000 | State changed to: 16
[ENCAP STATE] Time: 259075000 | State changed to: 15
[ENCAP STATE] Time: 259085000 | State changed to: 14
[ENCAP STATE] Time: 259095000 | State changed to: 15
[ENCAP STATE] Time: 259125000 | State changed to: 14
[ENCAP STATE] Time: 259135000 | State changed to: 15
[ENCAP STATE] Time: 259165000 | State changed to: 14
[ENCAP STATE] Time: 259175000 | State changed to: 15
[ENCAP STATE] Time: 259205000 | State changed to: 14
[ENCAP STATE] Time: 259215000 | State changed to: 15
[ENCAP STATE] Time: 259245000 | State changed to: 14
[ENCAP STATE] Time: 259255000 | State changed to: 15
[ENCAP STATE] Time: 259285000 | State changed to: 14
[ENCAP STATE] Time: 259295000 | State changed to: 15
[ENCAP STATE] Time: 259325000 | State changed to: 14
[ENCAP STATE] Time: 259335000 | State changed to: 15
[ENCAP STATE] Time: 259365000 | State changed to: 14
[ENCAP STATE] Time: 259375000 | State changed to: 15
[ENCAP STATE] Time: 259405000 | State changed to: 14
[ENCAP STATE] Time: 259415000 | State changed to: 16
[ENCAP STATE] Time: 259425000 | State changed to: 15
[ENCAP STATE] Time: 259455000 | State changed to: 14
[ENCAP STATE] Time: 259465000 | State changed to: 15
[ENCAP STATE] Time: 259495000 | State changed to: 14
[ENCAP STATE] Time: 259505000 | State changed to: 15
[ENCAP STATE] Time: 259535000 | State changed to: 14
[ENCAP STATE] Time: 259545000 | State changed to: 15
[ENCAP STATE] Time: 259575000 | State changed to: 14
[ENCAP STATE] Time: 259585000 | State changed to: 15
[ENCAP STATE] Time: 259615000 | State changed to: 14
[ENCAP STATE] Time: 259625000 | State changed to: 15
[ENCAP STATE] Time: 259655000 | State changed to: 14
[ENCAP STATE] Time: 259665000 | State changed to: 15
[ENCAP STATE] Time: 259695000 | State changed to: 14
[ENCAP STATE] Time: 259705000 | State changed to: 15
[ENCAP STATE] Time: 259735000 | State changed to: 14
[ENCAP STATE] Time: 259745000 | State changed to: 15
[ENCAP STATE] Time: 259765000 | State changed to: 16
[ENCAP STATE] Time: 259775000 | State changed to: 15
[ENCAP STATE] Time: 259785000 | State changed to: 14
[ENCAP STATE] Time: 259795000 | State changed to: 15
[ENCAP STATE] Time: 259825000 | State changed to: 14
[ENCAP STATE] Time: 259835000 | State changed to: 15
[ENCAP STATE] Time: 259865000 | State changed to: 14
[ENCAP STATE] Time: 259875000 | State changed to: 15
[ENCAP STATE] Time: 259905000 | State changed to: 14
[ENCAP STATE] Time: 259915000 | State changed to: 15
[ENCAP STATE] Time: 259945000 | State changed to: 14
[ENCAP STATE] Time: 259955000 | State changed to: 15
[ENCAP STATE] Time: 259985000 | State changed to: 14
[ENCAP STATE] Time: 259995000 | State changed to: 15
[ENCAP STATE] Time: 260025000 | State changed to: 14
[ENCAP STATE] Time: 260035000 | State changed to: 15
[ENCAP STATE] Time: 260065000 | State changed to: 14
[ENCAP STATE] Time: 260075000 | State changed to: 15
[ENCAP STATE] Time: 260105000 | State changed to: 14
[ENCAP STATE] Time: 260115000 | State changed to: 16
[ENCAP STATE] Time: 260125000 | State changed to: 15
[ENCAP STATE] Time: 260155000 | State changed to: 14
[ENCAP STATE] Time: 260165000 | State changed to: 15
[ENCAP STATE] Time: 260195000 | State changed to: 14
[ENCAP STATE] Time: 260205000 | State changed to: 15
[ENCAP STATE] Time: 260235000 | State changed to: 14
[ENCAP STATE] Time: 260245000 | State changed to: 15
[ENCAP STATE] Time: 260275000 | State changed to: 14
[ENCAP STATE] Time: 260285000 | State changed to: 15
[ENCAP STATE] Time: 260315000 | State changed to: 14
[ENCAP STATE] Time: 260325000 | State changed to: 15
[ENCAP STATE] Time: 260355000 | State changed to: 14
[ENCAP STATE] Time: 260365000 | State changed to: 15
[ENCAP STATE] Time: 260395000 | State changed to: 14
[ENCAP STATE] Time: 260405000 | State changed to: 15
[ENCAP STATE] Time: 260435000 | State changed to: 14
[ENCAP STATE] Time: 260445000 | State changed to: 15
[ENCAP STATE] Time: 260465000 | State changed to: 16
[ENCAP STATE] Time: 260475000 | State changed to: 15
[ENCAP STATE] Time: 260485000 | State changed to: 14
[ENCAP STATE] Time: 260495000 | State changed to: 15
[ENCAP STATE] Time: 260525000 | State changed to: 14
[ENCAP STATE] Time: 260535000 | State changed to: 15
[ENCAP STATE] Time: 260565000 | State changed to: 14
[ENCAP STATE] Time: 260575000 | State changed to: 15
[ENCAP STATE] Time: 260605000 | State changed to: 14
[ENCAP STATE] Time: 260615000 | State changed to: 15
[ENCAP STATE] Time: 260645000 | State changed to: 14
[ENCAP STATE] Time: 260655000 | State changed to: 15
[ENCAP STATE] Time: 260685000 | State changed to: 14
[ENCAP STATE] Time: 260695000 | State changed to: 15
[ENCAP STATE] Time: 260725000 | State changed to: 14
[ENCAP STATE] Time: 260735000 | State changed to: 15
[ENCAP STATE] Time: 260765000 | State changed to: 14
[ENCAP STATE] Time: 260775000 | State changed to: 15
[ENCAP STATE] Time: 260805000 | State changed to: 14
[ENCAP STATE] Time: 260815000 | State changed to: 16
[ENCAP STATE] Time: 260825000 | State changed to: 15
[ENCAP STATE] Time: 260855000 | State changed to: 14
[ENCAP STATE] Time: 260865000 | State changed to: 15
[ENCAP STATE] Time: 260895000 | State changed to: 14
[ENCAP STATE] Time: 260905000 | State changed to: 15
[ENCAP STATE] Time: 260935000 | State changed to: 14
[ENCAP STATE] Time: 260945000 | State changed to: 15
[ENCAP STATE] Time: 260975000 | State changed to: 14
[ENCAP STATE] Time: 260985000 | State changed to: 15
[ENCAP STATE] Time: 261015000 | State changed to: 14
[ENCAP STATE] Time: 261025000 | State changed to: 15
[ENCAP STATE] Time: 261055000 | State changed to: 14
[ENCAP STATE] Time: 261065000 | State changed to: 15
[ENCAP STATE] Time: 261095000 | State changed to: 14
[ENCAP STATE] Time: 261105000 | State changed to: 15
[ENCAP STATE] Time: 261135000 | State changed to: 14
[ENCAP STATE] Time: 261145000 | State changed to: 15
